,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
11,42,2.16,-22.78733333,42,2.16,-22.78733333,42,2.16,-22.78733333,42,2.16,-22.78733333,22,1.54,-20.30333333,22,1.54,-20.30333333,42,2.16,-22.78733333,22,1.54,-20.30333333,22,1.54,-20.30333333,16,2.58
12,42,2.16,-22.78733333,22,1.54,-20.30333333,22,1.54,-20.30333333,22,1.54,-20.30333333,42,2.16,-22.78733333,22,1.54,-20.30333333,22,1.54,-20.30333333,42,2.16,-22.78733333,42,2.16,-22.78733333,16,2.58
13,42,2.16,-22.78733333,22,1.54,-20.30333333,22,1.54,-20.30333333,22,1.54,-20.30333333,22,1.54,-20.30333333,42,2.16,-22.78733333,22,1.54,-20.30333333,42,2.16,-22.78733333,22,1.54,-20.30333333,16,2.58
14,22,1.54,-20.30333333,22,1.54,-20.30333333,22,1.54,-20.30333333,22,1.54,-20.30333333,42,2.16,-22.78733333,22,1.54,-20.30333333,22,1.54,-20.30333333,42,2.16,-22.78733333,22,1.54,-20.30333333,16,2.58
15,22,1.54,-20.30333333,22,1.54,-20.30333333,42,2.16,-22.78733333,22,1.54,-20.30333333,22,1.54,-20.30333333,22,1.54,-20.30333333,22,1.54,-20.30333333,22,1.54,-20.30333333,22,1.54,-20.30333333,16,2.58
16,23,1.63,-20.70088889,23,1.63,-20.70088889,23,1.63,-20.70088889,23,1.63,-20.70088889,23,1.63,-20.70088889,23,1.63,-20.70088889,23,1.63,-20.70088889,23,1.63,-20.70088889,72,1.3,-22.97733333,16,2.58
17,23,1.63,-20.70088889,23,1.63,-20.70088889,23,1.63,-20.70088889,23,1.63,-20.70088889,23,1.63,-20.70088889,23,1.63,-20.70088889,72,1.3,-22.97733333,23,1.63,-20.70088889,72,1.3,-22.97733333,16,2.58
18,23,1.63,-20.70088889,23,1.63,-20.70088889,72,1.3,-22.97733333,23,1.63,-20.70088889,23,1.63,-20.70088889,72,1.3,-22.97733333,72,1.3,-22.97733333,72,1.3,-22.97733333,23,1.63,-20.70088889,16,2.58
19,23,1.63,-20.70088889,72,1.3,-22.97733333,72,1.3,-22.97733333,72,1.3,-22.97733333,23,1.63,-20.70088889,23,1.63,-20.70088889,72,1.3,-22.97733333,72,1.3,-22.97733333,23,1.63,-20.70088889,16,2.58
20,23,1.63,-20.70088889,72,1.3,-22.97733333,72,1.3,-22.97733333,72,1.3,-22.97733333,23,1.63,-20.70088889,72,1.3,-22.97733333,72,1.3,-22.97733333,72,1.3,-22.97733333,23,1.63,-20.70088889,16,2.58
21,72,1.3,-22.97733333,72,1.3,-22.97733333,72,1.3,-22.97733333,72,1.3,-22.97733333,23,1.63,-20.70088889,72,1.3,-22.97733333,72,1.3,-22.97733333,23,1.63,-20.70088889,72,1.3,-22.97733333,16,2.58
22,72,1.3,-22.97733333,72,1.3,-22.97733333,72,1.3,-22.97733333,72,1.3,-22.97733333,23,1.63,-20.70088889,72,1.3,-22.97733333,72,1.3,-22.97733333,72,1.3,-22.97733333,72,1.3,-22.97733333,16,2.58
