,0
291,1284.388694
292,1429.744039
293,1503.526895
294,440.3730166
295,506.1351179
296,526.5883985
297,538.9076054
298,536.7997367
299,512.311886
300,473.6976859
301,398.9327413
302,2765.990741
303,2372.86619
304,1936.148671
305,1974.229015
306,2710.484006
307,2577.913953
308,2292.024404
309,2540.908854
310,1746.774171
311,1891.239752
312,1695.413204
313,2162.422291
314,1876.512231
315,2606.339068
316,1528.038344
317,1230.807966
318,2150.192498
319,2338.761676
320,2512.627485
321,2585.213485
322,2631.012718
323,2600.739846
324,2406.626359
325,2267.715118
326,221.6885279
327,269.0533824
328,354.8610151
329,318.0713059
330,575.0443942
331,341.1167773
332,502.2273295
333,473.1461262
334,676.3330777
335,748.6136679
336,870.2618
337,856.5067901
338,945.3063363
339,1045.709151
340,953.5653412
341,1013.231598
342,-279.4380004
343,-233.0232886
344,-303.6466115
345,-267.2974524
346,-299.8719569
347,-284.5667229
348,-347.6783849
349,-376.4235903
350,676.4984383
351,783.4533344
352,699.9319313
353,637.6810208
354,556.6421971
355,853.5299284
356,112.5377562
357,34.98021237
358,1002.49898
359,1286.773314
360,1437.56242
361,1617.888856
362,1569.351615
363,1318.652882
364,1381.312095
365,1436.730761
366,2072.846766
367,2279.734016
368,2440.132553
369,2594.820294
370,2614.182006
371,2505.738772
372,2297.965286
373,2180.765334
374,3736.29123
375,3086.518884
376,3349.916253
377,2957.744445
378,2261.259259
379,2375.718901
380,2583.930542
381,4076.60595
382,3930.62209
383,3781.818901
384,4021.031272
385,4206.778499
386,3919.225823
387,3852.919094
388,3949.66631
389,975.9830227
390,955.9546827
391,1549.329134
392,786.629099
393,1009.26312
394,754.1217537
395,962.29579
396,930.9201556
397,515.6347609
398,703.5767991
399,686.1509877
400,629.2820359
401,299.864324
402,229.7888176
403,224.6088185
404,63.95383722
405,712.092706
406,613.0358322
407,171.9623249
408,502.7953296
409,297.6451898
410,-66.17278925
411,-46.91586379
412,-346.4483644
413,75.09975971
414,247.6473644
415,304.3245142
416,346.1828539
417,424.5493543
418,439.6170301
419,460.6037004
420,418.7188464
421,10303.04102
422,628.2329802
423,5546.066883
424,691.8933759
425,627.4140891
426,579.4939769
427,586.8126659
428,534.5707233
429,10665.44344
430,575.626187
431,602.5985408
432,671.7565308
433,586.4771349
434,572.099662
435,522.3249272
436,631.2958014
437,784.4897765
438,280.8247159
439,416.9410149
440,382.8653214
441,106.8297969
442,-96.98493374
443,-189.7864657
444,2989.133186
445,3263.858704
446,3564.954909
447,2502.698388
448,2627.899117
449,3176.298101
450,419.4182619
451,642.9548066
452,548.1643427
453,757.3560207
454,843.3594339
455,666.3813663
456,933.765197
457,785.6721864
458,10472.52902
459,920.2841851
460,1194.01451
461,134.4763935
462,622.6697907
463,653.4457028
464,217.5825377
465,4.586449372
466,2929.001235
467,2593.286066
468,2479.934753
469,3254.99345
470,2584.55359
471,2807.412527
472,2444.716991
473,2681.368022
474,5812.215439
475,3487.006026
476,470.1214679
477,2963.451286
478,330.6653797
479,352.4293944
480,232.5548821
481,881.5945454
482,1091.055861
483,1250.763644
484,1217.202793
485,1332.196209
486,1449.155465
487,1653.064731
488,1411.176809
489,9.793114663
490,10.27774591
491,11.05890696
492,10.38227011
493,9.223087996
494,7.888702948
495,3.772265092
496,-5.015340258
497,4226.594538
498,4115.640946
499,4259.925885
500,3973.435319
501,4624.364056
502,3788.131578
503,3949.777681
504,4109.194396
505,873.4414089
506,1027.913604
507,1224.787493
508,1250.328942
509,1437.605081
510,1376.79344
511,1311.158402
512,1085.726569
513,1010.052706
514,821.8089816
515,814.6212982
516,1080.240259
517,1203.681439
518,1470.01343
519,973.7774847
520,4214.4916
521,4369.481759
522,4442.177875
523,3954.119064
524,4039.351395
525,-84.19915942
526,-3.126592638
527,123.2001609
528,263.8225901
529,258.8096254
530,277.5673998
531,120.8770675
532,18.99701722
533,4120.386547
534,3942.578337
535,4074.539789
536,4229.715801
537,4820.3151
538,3916.220944
539,3898.15878
540,4121.113993
541,10859.94233
542,873.7942592
543,496.7228174
544,212.4428858
545,527.2746293
546,628.4916496
547,658.8093323
548,630.8153667
549,499.118747
550,-50.5167456
551,-62.99038408
552,-58.94604
553,-53.46086066
554,-53.37457737
555,-48.94881268
556,-50.50987245
557,-48.50809765
558,-214.0519012
559,-192.2196991
560,-210.5870355
561,-217.2750267
562,-234.6256679
563,-214.5568872
564,-190.1956469
565,-260.2313081
566,1260.999681
567,1549.642108
568,1672.03112
569,1799.187235
570,1851.454909
571,1778.569566
572,1570.094143
573,1606.498258
574,4512.849603
575,4783.072734
576,5001.426352
577,5092.833257
578,5470.639942
579,4616.816719
580,4470.202818
581,4641.344572
582,1215.80727
583,1605.755017
584,1727.809015
585,1771.963865
586,1934.954374
587,1650.893728
588,2170.892279
589,1744.82988
590,764.4929795
591,627.5174933
592,495.8854504
593,708.171185
594,509.6539535
595,519.423879
596,772.6290352
