,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
46,24,1.66,1.367,24,1.66,1.367,24,1.66,1.367,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,16,2.58
47,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,24,1.66,1.367,23,1.63,0.277,23,1.63,0.277,24,1.66,1.367,23,1.63,0.277,16,2.58
48,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,24,1.66,1.367,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,16,2.58
49,74,1.7,2.249,74,1.7,2.249,74,1.7,2.249,74,1.7,2.249,74,1.7,2.249,40,1.33,0.126,74,1.7,2.249,74,1.7,2.249,74,1.7,2.249,16,2.58
50,74,1.7,2.249,40,1.33,0.126,74,1.7,2.249,74,1.7,2.249,74,1.7,2.249,74,1.7,2.249,40,1.33,0.126,74,1.7,2.249,74,1.7,2.249,16,2.58
51,74,1.7,2.249,74,1.7,2.249,74,1.7,2.249,74,1.7,2.249,74,1.7,2.249,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,74,1.7,2.249,16,2.58
52,74,1.7,2.249,40,1.33,0.126,74,1.7,2.249,40,1.33,0.126,74,1.7,2.249,74,1.7,2.249,40,1.33,0.126,74,1.7,2.249,40,1.33,0.126,16,2.58
53,74,1.7,2.249,74,1.7,2.249,74,1.7,2.249,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,74,1.7,2.249,40,1.33,0.126,16,2.58
54,40,1.33,0.126,40,1.33,0.126,74,1.7,2.249,74,1.7,2.249,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,74,1.7,2.249,40,1.33,0.126,16,2.58
55,74,1.7,2.249,40,1.33,0.126,74,1.7,2.249,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,16,2.58
56,74,1.7,2.249,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,16,2.58
57,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,22,1.54,0.04,16,2.58
58,42,2.16,1.997,22,1.54,0.04,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,22,1.54,0.04,42,2.16,1.997,42,2.16,1.997,16,2.58
59,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,42,2.16,1.997,16,2.58
60,42,2.16,1.997,42,2.16,1.997,22,1.54,0.04,22,1.54,0.04,42,2.16,1.997,22,1.54,0.04,42,2.16,1.997,42,2.16,1.997,22,1.54,0.04,16,2.58
61,42,2.16,1.997,42,2.16,1.997,22,1.54,0.04,42,2.16,1.997,42,2.16,1.997,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,16,2.58
62,42,2.16,1.997,42,2.16,1.997,22,1.54,0.04,42,2.16,1.997,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,16,2.58
63,42,2.16,1.997,42,2.16,1.997,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,16,2.58
64,42,2.16,1.997,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,16,2.58
65,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,72,1.3,0.347,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,16,2.58
66,22,1.54,0.04,72,1.3,0.347,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,72,1.3,0.347,22,1.54,0.04,22,1.54,0.04,16,2.58
67,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,72,1.3,0.347,22,1.54,0.04,72,1.3,0.347,22,1.54,0.04,72,1.3,0.347,16,2.58
68,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,22,1.54,0.04,16,2.58
69,22,1.54,0.04,72,1.3,0.347,22,1.54,0.04,72,1.3,0.347,22,1.54,0.04,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,22,1.54,0.04,16,2.58
70,72,1.3,0.347,72,1.3,0.347,22,1.54,0.04,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,22,1.54,0.04,22,1.54,0.04,16,2.58
71,22,1.54,0.04,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,22,1.54,0.04,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,16,2.58
72,72,1.3,0.347,72,1.3,0.347,22,1.54,0.04,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,16,2.58
73,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,40,1.33,0.126,16,2.58
74,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,40,1.33,0.126,23,1.63,0.277,23,1.63,0.277,40,1.33,0.126,16,2.58
75,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,40,1.33,0.126,40,1.33,0.126,23,1.63,0.277,23,1.63,0.277,40,1.33,0.126,16,2.58
76,23,1.63,0.277,40,1.33,0.126,23,1.63,0.277,40,1.33,0.126,23,1.63,0.277,23,1.63,0.277,40,1.33,0.126,23,1.63,0.277,40,1.33,0.126,16,2.58
77,23,1.63,0.277,40,1.33,0.126,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,16,2.58
78,23,1.63,0.277,40,1.33,0.126,23,1.63,0.277,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,23,1.63,0.277,40,1.33,0.126,16,2.58
79,23,1.63,0.277,23,1.63,0.277,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,16,2.58
80,40,1.33,0.126,40,1.33,0.126,23,1.63,0.277,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,16,2.58
81,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,23,1.63,0.277,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,16,2.58
82,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,23,1.63,0.277,42,2.16,1.997,23,1.63,0.277,16,2.58
83,42,2.16,1.997,23,1.63,0.277,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,23,1.63,0.277,23,1.63,0.277,42,2.16,1.997,16,2.58
84,42,2.16,1.997,42,2.16,1.997,23,1.63,0.277,42,2.16,1.997,42,2.16,1.997,23,1.63,0.277,23,1.63,0.277,42,2.16,1.997,23,1.63,0.277,16,2.58
85,23,1.63,0.277,23,1.63,0.277,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,42,2.16,1.997,16,2.58
86,42,2.16,1.997,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,42,2.16,1.997,23,1.63,0.277,23,1.63,0.277,42,2.16,1.997,23,1.63,0.277,16,2.58
87,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,42,2.16,1.997,23,1.63,0.277,23,1.63,0.277,42,2.16,1.997,23,1.63,0.277,16,2.58
88,42,2.16,1.997,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,16,2.58
89,74,1.7,2.249,74,1.7,2.249,74,1.7,2.249,74,1.7,2.249,74,1.7,2.249,23,1.63,0.277,74,1.7,2.249,74,1.7,2.249,74,1.7,2.249,16,2.58
90,74,1.7,2.249,74,1.7,2.249,74,1.7,2.249,23,1.63,0.277,74,1.7,2.249,23,1.63,0.277,74,1.7,2.249,74,1.7,2.249,74,1.7,2.249,16,2.58
91,74,1.7,2.249,74,1.7,2.249,74,1.7,2.249,74,1.7,2.249,23,1.63,0.277,74,1.7,2.249,74,1.7,2.249,23,1.63,0.277,23,1.63,0.277,16,2.58
92,74,1.7,2.249,74,1.7,2.249,23,1.63,0.277,74,1.7,2.249,74,1.7,2.249,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,74,1.7,2.249,16,2.58
93,74,1.7,2.249,23,1.63,0.277,74,1.7,2.249,74,1.7,2.249,74,1.7,2.249,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,16,2.58
94,74,1.7,2.249,23,1.63,0.277,74,1.7,2.249,23,1.63,0.277,74,1.7,2.249,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,16,2.58
95,74,1.7,2.249,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,74,1.7,2.249,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,16,2.58
96,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,74,1.7,2.249,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,16,2.58
97,24,1.66,1.367,24,1.66,1.367,24,1.66,1.367,24,1.66,1.367,24,1.66,1.367,42,2.16,1.997,24,1.66,1.367,24,1.66,1.367,24,1.66,1.367,16,2.58
98,24,1.66,1.367,24,1.66,1.367,24,1.66,1.367,24,1.66,1.367,24,1.66,1.367,24,1.66,1.367,42,2.16,1.997,24,1.66,1.367,42,2.16,1.997,16,2.58
99,24,1.66,1.367,24,1.66,1.367,42,2.16,1.997,42,2.16,1.997,24,1.66,1.367,42,2.16,1.997,24,1.66,1.367,24,1.66,1.367,24,1.66,1.367,16,2.58
100,24,1.66,1.367,24,1.66,1.367,42,2.16,1.997,24,1.66,1.367,24,1.66,1.367,42,2.16,1.997,42,2.16,1.997,24,1.66,1.367,42,2.16,1.997,16,2.58
