,0
389,0.331165186
390,0.622902084
391,0.48347753
392,0.42406007
393,1.135418481
394,0.661327539
395,1.253991238
396,0.763661223
397,0.688915783
398,0.549745369
399,0.501331815
400,0.575937641
401,0.548576709
402,0.658926044
403,0.249200718
404,0.364262205
405,0.395244972
406,0.603290911
407,0.348757543
408,0.428954407
409,0.366855553
410,0.295135748
411,0.473311472
412,0.57350542
413,0.303672848
414,-0.274323553
415,0.522398303
416,0.456287223
417,0.417816378
418,0.355820718
419,0.485270222
420,0.533829323
421,0.414458739
422,0.278827339
423,0.305106414
424,0.538952579
425,0.408512592
426,0.428043044
427,0.439118903
428,0.519089943
429,0.570479786
430,0.541879244
431,0.54780516
432,0.558688836
433,1.116236143
434,0.819307067
435,0.894370554
436,0.964275385
437,0.637066028
438,0.73244374
439,0.718903003
440,0.435577035
441,0.698697604
442,0.48106555
443,0.55741563
444,0.266196531
445,0.386941393
446,0.241616103
447,0.348856232
448,0.018976071
449,0.68262071
450,0.457907396
451,0.86322346
452,0.807517248
453,1.079820298
454,0.787130335
455,0.80058085
456,0.494161891
457,0.506399235
458,0.449424735
459,0.494985255
460,0.338754539
461,0.130021736
462,0.243779434
463,0.250080701
464,0.275036168
465,2.160237097
466,2.120850827
467,1.918263805
468,2.184389086
469,2.294652258
470,2.292798657
471,1.960504609
472,2.293277933
473,0.437570847
474,0.412991094
475,0.475196261
476,0.524310067
477,0.584860118
478,0.691187365
479,0.535440321
480,0.601085171
481,0.758257223
482,0.926332615
483,0.992850393
484,1.114436813
485,0.794385592
486,0.488514435
487,0.430760367
488,0.443372562
489,0.489670385
490,0.526881934
491,0.48213459
492,0.504686638
493,0.546931238
494,0.569344924
495,0.679346804
496,0.613379679
497,0.788399494
498,0.887748022
499,0.786527357
500,0.445487451
501,0.445247506
502,0.262291191
503,0.02420527
504,0.064985828
505,1.311729563
506,1.522827569
507,1.626306382
508,1.501297164
509,1.391956324
510,1.959874609
511,1.956798487
512,1.444857679
513,0.907916313
514,0.835735335
515,0.743088739
516,0.766053447
517,0.772420039
518,0.691154368
519,0.479143757
520,0.55963035
521,0.278102949
522,0.833584902
523,0.709012153
524,1.21131953
525,0.913139188
526,0.777658975
527,0.715393082
528,0.818501036
529,0.741630224
530,0.672230828
531,0.682368092
532,0.855542917
533,0.589159596
534,0.443682545
535,0.46050003
536,1.02727651
537,0.896939857
538,0.879085091
539,0.642836326
540,0.841920449
541,0.550025589
542,0.59513375
543,0.586198528
544,0.322477333
545,0.417974804
546,0.44178259
547,0.369802655
548,0.392498496
549,0.546941117
550,0.587667423
551,0.707214702
552,0.85144759
553,0.64332267
554,0.477958332
555,0.341201652
556,0.048678449
557,0.366872302
558,0.380207859
559,0.922217684
560,0.813534408
561,0.828992948
562,0.898626363
563,0.828738485
564,0.718709848
565,0.835066123
566,0.65404476
567,1.129365444
568,1.034823877
569,0.993404072
570,1.037971337
571,0.756929351
572,0.843791135
573,0.639455625
574,0.750618313
575,0.538862368
576,0.558594852
577,0.544343554
578,0.53236248
579,0.594036837
580,0.635154727
581,0.621348859
582,0.647502474
583,0.272526816
584,0.093020314
585,0.230411408
586,0.082682959
587,-0.233389954
588,-0.048999199
589,-0.374888247
590,-0.288559903
591,0.574022988
592,0.555017584
593,0.012907746
594,-0.46831958
595,0.412073764
596,0.060370848
597,0.419791128
598,-0.162396926
599,0.184177869
600,0.116757569
601,-0.03725951
602,-0.04742425
603,-0.268449052
604,-0.110787335
605,-0.105933351
606,0.469185833
607,0.50237947
608,0.358008958
609,0.43649346
610,0.378320966
611,0.059716783
612,0.11682577
613,0.130932019
614,0.072362762
615,0.009164158
616,-0.187671726
617,-0.108607526
618,-0.17545722
619,-0.097535868
620,-0.077322982
621,-0.200541807
622,0.454446269
623,0.421397448
624,0.483810774
625,0.430888577
626,0.499891832
627,0.546310929
628,0.474331827
629,0.250318722
630,0.062687521
631,0.161689818
632,0.138763009
633,0.242096147
634,-0.102034929
635,0.150821719
636,0.249289239
637,-0.020075967
638,0.278539421
639,0.234932312
640,0.251540681
641,0.269059708
642,0.320148995
643,-0.060640544
644,-0.301027453
645,-0.305913609
646,0.284313128
647,0.28364743
648,0.233330384
649,-0.122955331
650,0.082963814
651,0.021610559
652,0.316460845
653,-0.078204475
654,0.264331581
655,0.263994365
656,0.233853937
657,0.310537551
658,0.300616632
659,0.211718869
660,0.121558689
661,0.193827669
662,0.124764956
663,0.173318568
664,0.159066402
665,0.170887907
666,0.208082054
667,0.228417073
668,0.257585399
669,0.309911725
670,0.657775226
671,0.672963819
672,0.582183854
